"id","departemen_id","limit_disk","status","created_at","updated_at","deleted_at"
"250c1714-bb83-48b7-9527-d3d5bc8715ed","f32bfc25-f35f-4e8b-b37e-65bc20978873","15",NULL,"2023-01-16 11:57:52","2023-01-16 11:57:52",NULL
"3725d7ee-5b1c-4198-bc4e-a1341e314713","f20257fd-0451-4a9b-bad3-61db0c6b524d","15",NULL,"2023-01-16 11:40:54","2023-01-16 11:40:54",NULL
